No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
118,AH,,,E,,表採,,,SH,15.7,11.8,2.65,0.48,,Jyomon,0
119,RF,,,E,,表採,,,TF,22,21.6,2.9,0.96,,,0
120,FL,,,E,,表採,,,CL,22.1,15.2,8.9,4.21,,,0
121,FL,,,E,,表採,,,SH,27.8,14.1,3.8,0.64,,,0
122,CH,,,E,,表採,,,?,19.1,23.7,5.4,1.82,,,0
123,FL,,,E,,表採,,,SH,28.8,31.1,10.3,9.36,9,,0
124,CH,,,E,,表採,,,SH,17.1,19.6,2.1,0.51,,,0
125,Other,,,E,,表採,,,TF,25.8,36.95,16.35,10.71,,Jyomon,0
126,CH,,,C-46（E）,,表採,,,TF,17.7,18.5,6.5,0.94,,,0
127,CH,,,E,,表採,,,SH,11.9,10.6,1.8,0.15,,,0
128,CH,,,E,,表採,,,SH,17.45,19.3,5.3,1.38,,,0
129,BL,,,E,,表採,,,TF,181.5,55,15.4,145.96,,,1
130,PO,,,E,,表採,,,SH,49.4,25.8,6.25,7.65,,Jyomon,0
132,AX,,,E,,表採,,,?,74.95,32.7,10.5,41.62,,Jyomon,0
134,BF,,,E,,表採,,,SH,95.2,44.6,13.3,45.18,,Jyomon,0
135,DR,,,E,,表採,,,SH,75.8,43.3,9.3,21.18,,Jyomon,0
136,SP,11,1 ,K-36（E）,,Y3,2180.7825 ,201.5372 ,SH,54.6,23.1,8.5,8.39,5,,1
137,SP,15,1 ,K-36（E）,,Y3,2067.9379 ,173.1231 ,SH,31.3,15.4,8.55,3.23,5,,0
138,RF,2,1 ,K-36（E）,,Y3,2102.4408 ,178.4000 ,SH,29.82,31.37,6.67,3.63,2,,1
139,CO,23,1 ,K-36（E）,,Y3,2087.0160 ,166.6284 ,SH,46.8,47.1,13.7,28.97,14,,0
140,FL,,1 ,K-36（E）,,Y3,2072.4030 ,147.5504 ,SH,21.3,22.95,3.75,1.95,,,0
141,CO,2,1 ,K-36（E）,,Y3,2051.7013 ,130.9078 ,SH,30.85,38.5,15.45,12.72,2,,0
142,SP,11,1 ,K-36（E）,,Y3,1996.4967 ,130.9078 ,SH,62.8,16.4,5.75,11.1,5,,1
143,SP,2,1 ,K-36（E）,,Y3,2153.5861 ,143.4912 ,SH,35.95,17.35,7.45,3.87,2,,1
144,RF,14,1 ,K-36（E）,,Y3,2148.7152 ,126.0369 ,SH,39.4,45,7.4,8.15,5,,0
145,FL,17,1 ,K-36（E）,,Y3,2146.6856 ,119.9481 ,SH,29.25,39.05,6,5.76,7,,0
146,RF,,1 ,K-36（E）,,Y3,2138.5673 ,113.0476 ,SH,50.9,26.6,9.5,8.62,8,,0
147,FL,11,1 ,K-36（E）,,Y3,2161.7045 ,106.5529 ,SH,23.1,43.55,8.6,3.68,5,,1
148,FL,17,1 ,K-36（E）,,Y3,2100.0053 ,110.6121 ,SH,21.1,24.1,5,2.42,7,,0
149,CO,2,1 ,K-36（E）,,Y3,2065.0965 ,109.3943 ,SH,30.75,44.3,9.95,13.8,2,,0
150,SP,2,1 ,K-36（E）,,Y3,2045.6126 ,100.4642 ,SH,46.1,14.5,5.4,4.36,2,,1
151,FL,15,1 ,K-36（E）,,Y3,2056.9782 ,71.6441 ,SH,27.6,24.4,6,2.23,5,,0
152,FL,15,1 ,K-36（E）,,Y3,2009.0801 ,65.1495 ,SH,38.2,52.4,9.4,11.78,5,,0
153,FL,23,1 ,K-36（E）,,Y3,1974.1714 ,56.6253 ,SH,23.1,25.1,3.5,1.85,14,,0
154,CO,17,1 ,K-36（E）,,Y3,2002.9914 ,40.7945 ,SH,54.5,42.1,14.75,25.35,7,,1
155,RF,,1 ,K-36（E）,,Y3,2050.0776 ,15.2218 ,SH,37.4,25.4,7.3,5.67,,,0
