No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
386 ,FL,,1 ,J-36（E）,,Y3,1868 ,(64),SH,15 ,24 ,3 ,1 ,7 ,,0 
387 ,FL,18 ,1 ,J-36（E）,,Y3,1863 ,(54),SH,,,,,9 ,,0 
388 ,KN,,1 ,J-36（E）,,Y3,1860 ,(74),SH,61 ,27 ,13 ,18 ,10 ,,1 
389 ,CH,,1 ,J-36（E）,,Y3,1860 ,(66),SH,16 ,11 ,2 ,0 ,14 ,,0 
390 ,FL,,1 ,J-36（E）,,Y3,1866 ,(40),SH,12 ,22 ,3 ,0 ,5 ,,0 
391 ,FL,23 ,1 ,J-36（E）,,Y3,1893 ,(7),SH,25 ,20 ,3 ,1 ,14 ,,0 
392 ,FL,23 ,1 ,J-36（E）,,Y3,1872 ,(1),SH,25 ,29 ,7 ,3 ,14 ,,0 
393 ,CH,,1 ,J-36（E）,,Y3,1804 ,(119),SH,6 ,8 ,5 ,0 ,,,0 
394 ,FL,,1 ,J-36（E）,,Y3,1801 ,(107),SH,22 ,19 ,6 ,1 ,7 ,,1 
395 ,SP,15 ,1 ,J-36（E）,,Y3,1814 ,(73),SH,47 ,18 ,5 ,4 ,5 ,,0 
396 ,SP,2 ,1 ,J-36（E）,,Y3,1811 ,(54),SH,32 ,26 ,5 ,3 ,2 ,,1 
397 ,FL,16 ,1 ,J-36（E）,,Y3,1823 ,(41),SH,15 ,20 ,4 ,1 ,6 ,,1 
399 ,FL,11 ,1 ,J-36（E）,,Y3,1804 ,(31),SH,30 ,33 ,4 ,4 ,5 ,,1 
400 ,FL,16 ,1 ,J-36（E）,,Y3,1797 ,(69),SH,22 ,13 ,5 ,1 ,6 ,,0 
401 ,CH,,1 ,J-36（E）,,Y3,1780 ,(45),SH,15 ,7 ,6 ,6 ,10 ,,0 
402 ,CH,,1 ,J-36（E）,,Y3,1771 ,(75),SH,14 ,10 ,4 ,0 ,14 ,,0 
403 ,KN,,1 ,K-36（E）,,Y3,1827 ,(6),SH,45 ,32 ,7 ,10 ,22 ,,1 
404 ,FL,11 ,1 ,J-36（E）,,Y3,1820 ,(10),SH,41 ,27 ,6 ,3 ,5 ,,0 
405 ,SP,,1 ,J-36（E）,,Y3,1894 ,16 ,SH,27 ,5 ,6 ,0 ,5 ,,0 
406 ,CH,,1 ,J-36（E）,,Y3,1874 ,(57),SH,9 ,10 ,4 ,0 ,,,0 
407 ,PI,,1 ,J-36（E）,,Y3,1843 ,(58),SH,17 ,7 ,5 ,0 ,9 ,,0 
408 ,CH,19 ,1 ,J-36（E）,,Y3,1825 ,(83),SH,13 ,8 ,2 ,0 ,10 ,,0 
409 ,CH,,1 ,J-36（E）,,Y3,1821 ,(98),SH,12 ,8 ,2 ,0 ,5 ,,0 
410 ,CH,,1 ,J-36（E）,,Y3,1825 ,(77),SH,9 ,15 ,4 ,0 ,5 ,,0 
411 ,CH,,1 ,J-36（E）,,Y3,1783 ,(64),SH,12 ,5 ,2 ,0 ,5 ,,0 
412 ,CH,,1 ,J-36（E）,,Y3,1761 ,(59),SH,14 ,10 ,4 ,0 ,2 ,,0 
413 ,CH,,1 ,K-36（E）,,Y3,1830 ,8 ,SH,16 ,15 ,3 ,0 ,5 ,,0 
414 ,CH,,1 ,J-36（E）,,Y3,1827 ,(34),SH,9 ,14 ,1 ,0 ,2 ,,0 
415 ,CH,,1 ,J-36（E）,,Y3,1793 ,80 ,SH,9 ,7 ,2 ,0 ,5 ,,0 
416 ,CH,,1 ,K-36（E）,,Y3,1876 ,(38),SH,10 ,5 ,1 ,0 ,2 ,,0 
417 ,CH,,1 ,J-36（E）,,Y3,1986 ,(195),SH,10 ,7 ,2 ,0 ,5 ,,0 
418 ,CH,,1 ,J-36（E）,,Y3,2086 ,(179),SH,15 ,7 ,1 ,0 ,9 ,,0 
419 ,CH,,3 ,J-36（E）,,Y3,(924),1521 ,SH,9 ,7 ,1 ,0 ,5 ,,0 
420 ,CH,,3 ,M-39（E）,,Y3,(1171),1460 ,SH,18 ,11 ,7 ,1 ,6 ,,0 
421 ,FL,,3 ,M-39（E）,,Y3,(351),769 ,SH,23 ,15 ,9 ,1 ,16 ,,0 
422 ,FL,24 ,3 ,M-39（E）,,Y3,(55),1493 ,SH,59 ,60 ,16 ,28 ,16 ,,1 
423 ,CH,,3 ,M-39（E）,,Y3,(55),1465 ,SH,14 ,10 ,1 ,0 ,16 ,,0 
424 ,CH,,3 ,M-39（E）,,Y3,(90),1470 ,SH,15 ,10 ,6 ,1 ,16 ,,0 
425 ,FL,,3 ,L-39（E）,,Y3,(109),1495 ,SH,51 ,59 ,9 ,21 ,3 ,,1 
426 ,FL,1 ,3 ,M-36（E）,,Y3,(132),1424 ,SH,27 ,16 ,4 ,2 ,1 ,,0 
427 ,FL,,3 ,M-36（E）,,Y3,(143),1462 ,SH,23 ,11 ,5 ,1 ,16 ,,0 
428 ,FL,24 ,3 ,M-36（E）,,Y3,(174),1417 ,SH,32 ,35 ,8 ,10 ,16 ,,1 
429 ,CH,,3 ,M-36（E）,,Y3,(187),1455 ,SH,17 ,10 ,2 ,0 ,,,0 
430 ,FL,4 ,3 ,M-36（E）,,Y3,(210),1485 ,SH,,,,,3 ,,0 
431 ,FL,,3 ,M-38（E）,,Y3,41 ,1324 ,SH,25 ,43 ,11 ,9 ,8 ,,0 
432 ,FL,,3 ,L-39（E）,,Y3,(44),1620 ,SH,24 ,25 ,5 ,26 ,3 ,,1 
433 ,FL,,3 ,L-39（E）,,Y3,(185),1591 ,SH,16 ,22 ,10 ,3 ,15 ,,0 
434 ,CH,,3 ,L-39（E）,,Y3,(193),1555 ,SH,11 ,19 ,2 ,0 ,8 ,,0 
435 ,CH,3 ,3 ,L-39（E）,,Y3,(212),1553 ,SH,20 ,17 ,3 ,1 ,3 ,,0 
436 ,FL,24 ,3 ,M-39（E）,,Y3,(189),1541 ,SH,31 ,33 ,8 ,7 ,16 ,,1 
437 ,FL,5 ,3 ,M-39（E）,,Y4,(1049),1096 ,SH,21 ,17 ,5 ,1 ,3 ,,1 
438 ,CH,,3 ,M-38（E）,,Y4,(890),1073 ,SH,2 ,18 ,7 ,0 ,,,0 
439 ,FL,1 ,3 ,M-38（E）,,Y4,(831),1365 ,SH,18 ,22 ,6 ,2 ,1 ,,0 
440 ,FL,,3 ,L-39（E）,,Y3,,,SH,,,,,3 ,,0 
441 ,CH,,3 ,M-39（E）,,Y3,,,SH,11 ,23 ,2 ,0 ,7 ,,0 
442 ,FL,,3 ,L-38（E）,,Y3,,,SH,33 ,15 ,11 ,3 ,3 ,,0 
443 ,CH,13 ,2 ,K-38（E）,,Y3,,,SH,15 ,19 ,3 ,1 ,5 ,,0 
445 ,RBL,20 ,3 ,M-38（E）,倒木痕,Y4?,,,SH,31 ,19 ,13 ,6 ,11 ,,0 
446 ,RBL,20 ,3 ,M-38（E）,,Y4?,,,SH,36 ,47 ,15 ,23 ,11 ,,0 
447 ,CH,,3 ,M-38（E）,倒木痕,Y4?,,,SH,17 ,12 ,8 ,1 ,7 ,,1 
448 ,RF,5 ,3 ,M-38（E）,倒木痕,Y4?,,,SH,,,,,3 ,,0 
449 ,FL,,,M-17（E）,倒木痕,埋土,,,SH,50 ,50 ,7 ,15 ,,,0 
451 ,BL,,2 ,K-38（E）,,表採,,,SH,41 ,18 ,5 ,3 ,31 ,,1 
452 ,CH,,2 ,K-38（E）,廃土,Y3M,,,SH,17 ,16 ,4 ,1 ,3 ,,0 
453 ,FL,,,K-37（E）,廃土,Y3M,,,SH,26 ,29 ,3 ,2 ,1 ,,0 
454 ,FL,,2 ,J-38（E）,廃土,Y3M,,,SH,21 ,20 ,2 ,1 ,,,0 
455 ,CH,,2 ,K-38（E）,廃土,Y3M,,,SH,17 ,16 ,2 ,0 ,7 ,,0 
456 ,FL,,2 ,K-38（E）,廃土,Y3,,,SH,16 ,21 ,8 ,1 ,2 ,,0 
457 ,CH,,2 ,K-38（E）,廃土,Y3M,,,SH,16 ,13 ,1 ,0 ,7 ,,0 
458 ,FL,17 ,2 ,K-38（E）,,Y3M,,,SH,23 ,12 ,4 ,1 ,7 ,,0 
459 ,CH,16 ,2 ,K-38（E）,廃土,Y3M,,,SH,11 ,13 ,4 ,0 ,6 ,,0 
460 ,CH,,2 ,K-38（E）,廃土,Y3M,,,SH,9 ,3 ,2 ,0 ,,,0 
461 ,FL,,2 ,K-38（E）,廃土,Y3M,,,SH,,4 ,5 ,17 ,,,0 
462 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,14 ,15 ,4 ,1 ,3 ,,0 
463 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,9 ,10 ,4 ,0 ,16 ,,0 
464 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,13 ,9 ,2 ,0 ,5 ,,0 
465 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,6 ,12 ,2 ,0 ,16 ,,0 
466 ,CH,,,K-37（E）,廃土,Y3,,,SH,11 ,8 ,2 ,0 ,,,0 
467 ,SP,,,K-37（E）,廃土,Y3,,,SH,22 ,7 ,5 ,0 ,,,0 
468 ,CH,,2 ,K-38（E）,廃土,Y3,,,SH,16 ,13 ,2 ,0 ,3 ,,0 
469 ,CH,,2 ,J-38（E）,廃土,Y3,,,SH,18 ,11 ,7 ,0 ,3 ,,0 
470 ,FL,,,J-37（E）,廃土,Y3,,,SH,15 ,22 ,2 ,1 ,,,0 
471 ,RF,9 ,,J-37（E）,廃土,Y3,,,SH,24 ,14 ,5 ,2 ,1 ,,1 
473 ,SP,,1 ,K-35（E）,,Y2,,,SH,31 ,15 ,9 ,2 ,2 ,,0 
475 ,BL,,,K-31（E）,,Y3,,,SH,59 ,22 ,6 ,8 ,32 ,,1 
476 ,RF,25 ,,K-31（E）,,Y3,,,SH,17 ,22 ,5 ,2 ,8 ,,0 
477 ,FL,,,K-31（E）,,Y3,,,SH,34 ,28 ,9 ,6 ,8 ,,1 
478 ,CH,,,K-31（E）,,Y3,,,SH,16 ,19 ,8 ,1 ,13 ,,0 
479 ,FL,,,K-31（E）,,Y3,,,SH,48 ,60 ,12 ,29 ,8 ,,0 
480 ,PI,,,K-31（E）,,Y3,,,SH,50 ,46 ,12 ,27 ,,,0 
481 ,FL,,,K-31（E）,,Y3,,,SH,81 ,48 ,20 ,46 ,8 ,,1 
